Time,WdgtStatus_LinearSlider,Pos_LinearSlider,Raw_LinearSlider_Sns0,Bsln_LinearSlider_Sns0,Diff_LinearSlider_Sns0,Status_LinearSlider_Sns0,Raw_LinearSlider_Sns1,Bsln_LinearSlider_Sns1,Diff_LinearSlider_Sns1,Status_LinearSlider_Sns1,Raw_LinearSlider_Sns2,Bsln_LinearSlider_Sns2,Diff_LinearSlider_Sns2,Status_LinearSlider_Sns2
0:17:03,0,65535,3479,3480,0,0,3521,3518,0,0,3543,3540,0,0
0:17:03,0,65535,3475,3480,0,0,3517,3518,0,0,3542,3540,0,0
0:17:03,0,65535,3478,3480,0,0,3517,3518,0,0,3542,3540,0,0
0:17:03,1,0,3642,3481,161,1,3523,3518,0,0,3544,3540,0,0
0:17:04,0,65535,3480,3482,0,0,3519,3518,0,0,3541,3540,0,0
0:17:04,0,65535,3484,3482,0,0,3519,3518,0,0,3546,3540,0,0
0:17:04,0,65535,3476,3482,0,0,3517,3518,0,0,3541,3540,0,0
0:17:04,0,65535,3478,3482,0,0,3518,3518,0,0,3543,3540,0,0
0:17:04,0,65535,3477,3482,0,0,3519,3518,0,0,3543,3540,0,0
0:17:04,0,65535,3477,3482,0,0,3518,3518,0,0,3541,3540,0,0
0:17:04,0,65535,3475,3481,0,0,3518,3518,0,0,3544,3540,0,0
0:17:04,0,65535,3476,3481,0,0,3517,3518,0,0,3540,3540,0,0
0:17:05,0,65535,3478,3481,0,0,3518,3518,0,0,3539,3540,0,0
0:17:05,1,13,3999,3487,512,1,3574,3518,56,0,3545,3540,0,0
0:17:05,0,65535,3524,3493,0,0,3521,3519,0,0,3546,3541,0,0
0:17:05,0,65535,3475,3492,0,0,3515,3519,0,0,3538,3540,0,0
0:17:05,0,65535,3474,3492,0,0,3519,3519,0,0,3547,3541,0,0
0:17:05,0,65535,3477,3492,0,0,3517,3519,0,0,3538,3540,0,0
0:17:05,0,65535,3474,3492,0,0,3518,3519,0,0,3539,3540,0,0
0:17:05,0,65535,3475,3491,0,0,3515,3519,0,0,3540,3540,0,0
0:17:05,0,65535,3478,3491,0,0,3526,3519,0,0,3540,3540,0,0
0:17:05,0,65535,3477,3491,0,0,3516,3519,0,0,3539,3540,0,0
0:17:06,1,0,3855,3493,362,1,3540,3519,0,0,3542,3540,0,0
0:17:06,1,0,3764,3499,265,1,3533,3519,0,0,3544,3540,0,0
0:17:06,0,65535,3482,3499,0,0,3517,3519,0,0,3539,3541,0,0
0:17:06,0,65535,3475,3498,0,0,3519,3519,0,0,3539,3540,0,0
0:17:06,0,65535,3478,3498,0,0,3518,3519,0,0,3540,3541,0,0
0:17:06,0,65535,3473,3498,0,0,3513,3519,0,0,3537,3540,0,0
0:17:06,0,65535,3476,3497,0,0,3522,3519,0,0,3543,3540,0,0
0:17:06,0,65535,3475,3497,0,0,3517,3519,0,0,3539,3540,0,0
0:17:06,0,65535,3476,3497,0,0,3522,3519,0,0,3538,3540,0,0
0:17:06,0,65535,3474,3496,0,0,3530,3519,0,0,3546,3540,0,0
0:17:07,0,65535,3481,3496,0,0,3520,3519,0,0,3544,3540,0,0
0:17:07,1,0,3824,3500,324,1,3535,3519,0,0,3545,3540,0,0
0:17:07,0,65535,3475,3501,0,0,3514,3519,0,0,3541,3540,0,0
0:17:07,0,65535,3475,3500,0,0,3517,3519,0,0,3540,3540,0,0
0:17:07,0,65535,3477,3500,0,0,3517,3519,0,0,3540,3541,0,0
0:17:07,0,65535,3477,3499,0,0,3517,3519,0,0,3548,3541,0,0
0:17:07,0,65535,3473,3499,0,0,3516,3519,0,0,3537,3541,0,0
0:17:07,0,65535,3474,3499,0,0,3519,3519,0,0,3538,3541,0,0
0:17:07,0,65535,3477,3498,0,0,3518,3519,0,0,3541,3541,0,0
0:17:07,0,65535,3495,3498,0,0,3531,3519,0,0,3537,3540,0,0
0:17:08,0,65535,3474,3498,0,0,3518,3519,0,0,3539,3540,0,0
0:17:08,0,65535,3495,3497,0,0,3519,3519,0,0,3541,3540,0,0
0:17:08,1,0,3758,3501,257,1,3530,3519,0,0,3543,3540,0,0
0:17:08,0,65535,3537,3504,0,0,3527,3519,0,0,3541,3540,0,0
0:17:08,0,65535,3475,3503,0,0,3518,3519,0,0,3539,3540,0,0
0:17:08,0,65535,3477,3503,0,0,3523,3519,0,0,3555,3541,0,0
0:17:08,0,65535,3475,3502,0,0,3537,3519,0,0,3545,3540,0,0
0:17:08,0,65535,3474,3502,0,0,3516,3519,0,0,3543,3541,0,0
0:17:09,0,65535,3475,3501,0,0,3518,3519,0,0,3541,3540,0,0
0:17:09,0,65535,3475,3501,0,0,3519,3519,0,0,3543,3541,0,0
