Time,WdgtStatus_LinearSlider,Pos_LinearSlider,Raw_LinearSlider_Sns0,Bsln_LinearSlider_Sns0,Diff_LinearSlider_Sns0,Status_LinearSlider_Sns0,Raw_LinearSlider_Sns1,Bsln_LinearSlider_Sns1,Diff_LinearSlider_Sns1,Status_LinearSlider_Sns1,Raw_LinearSlider_Sns2,Bsln_LinearSlider_Sns2,Diff_LinearSlider_Sns2,Status_LinearSlider_Sns2
22:08:29,0,65535,3488,3509,0,0,3521,3558,0,0,3545,3575,0,0
22:08:29,0,65535,3485,3509,0,0,3524,3558,0,0,3544,3574,0,0
22:08:29,0,65535,3509,3508,0,0,3535,3558,0,0,3545,3574,0,0
22:08:30,0,65535,3490,3508,0,0,3521,3558,0,0,3545,3573,0,0
22:08:30,0,65535,3489,3508,0,0,3522,3558,0,0,3546,3573,0,0
22:08:30,0,65535,3490,3508,0,0,3522,3558,0,0,3547,3573,0,0
22:08:30,0,65535,3489,3507,0,0,3523,3524,0,0,3551,3572,0,0
22:08:30,0,65535,3491,3507,0,0,3524,3524,0,0,3553,3572,0,0
22:08:30,0,65535,3491,3507,0,0,3527,3524,0,0,3648,3572,76,0
22:08:30,1,235,3492,3506,0,0,3614,3525,89,0,4046,3577,469,1
22:08:30,1,64,3965,3509,456,1,3990,3532,458,1,3589,3580,0,0
22:08:30,1,0,3661,3516,145,1,3563,3535,0,0,3549,3580,0,0
22:08:31,0,65535,3487,3515,0,0,3524,3535,0,0,3551,3580,0,0
22:08:31,0,65535,3485,3515,0,0,3521,3534,0,0,3544,3580,0,0
22:08:31,0,65535,3488,3515,0,0,3525,3534,0,0,3548,3580,0,0
22:08:31,0,65535,3486,3514,0,0,3522,3534,0,0,3545,3580,0,0
22:08:31,0,65535,3515,3514,0,0,3530,3534,0,0,3544,3544,0,0
22:08:31,0,65535,3491,3513,0,0,3522,3533,0,0,3546,3544,0,0
22:08:31,0,65535,3513,3513,0,0,3529,3533,0,0,3547,3544,0,0
22:08:31,0,65535,3493,3513,0,0,3525,3533,0,0,3548,3544,0,0
22:08:31,0,65535,3491,3512,0,0,3522,3533,0,0,3549,3544,0,0
22:08:31,0,65535,3492,3512,0,0,3526,3533,0,0,3582,3544,0,0
22:08:32,0,65535,3491,3512,0,0,3526,3533,0,0,3678,3545,133,0
22:08:32,1,206,3501,3512,0,0,3819,3534,285,1,4012,3552,460,1
22:08:32,1,52,3982,3515,467,1,3865,3541,324,1,3572,3554,0,0
22:08:32,0,65535,3486,3520,0,0,3531,3542,0,0,3547,3554,0,0
22:08:32,0,65535,3481,3520,0,0,3521,3542,0,0,3544,3554,0,0
22:08:32,0,65535,3483,3520,0,0,3527,3542,0,0,3545,3554,0,0
22:08:32,0,65535,3478,3520,0,0,3519,3541,0,0,3543,3554,0,0
22:08:32,0,65535,3480,3520,0,0,3520,3541,0,0,3542,3554,0,0
22:08:32,0,65535,3481,3520,0,0,3520,3541,0,0,3541,3553,0,0
22:08:33,0,65535,3502,3485,0,0,3523,3540,0,0,3546,3553,0,0
22:08:33,0,65535,3483,3485,0,0,3523,3540,0,0,3547,3553,0,0
22:08:33,0,65535,3494,3485,0,0,3526,3540,0,0,3560,3553,0,0
22:08:33,0,65535,3480,3485,0,0,3526,3540,0,0,3568,3553,0,0
22:08:33,0,65535,3490,3485,0,0,3528,3539,0,0,3618,3554,64,0
22:08:33,1,255,3484,3485,0,0,3538,3539,0,0,3807,3556,251,1
22:08:33,1,235,3489,3485,0,0,3622,3540,82,0,3997,3563,434,1
22:08:33,1,56,3920,3487,433,1,3883,3545,338,1,3575,3567,0,0
22:08:33,1,0,3917,3495,422,1,3558,3546,0,0,3552,3567,0,0
22:08:33,0,65535,3496,3498,0,0,3525,3546,0,0,3547,3567,0,0
22:08:34,0,65535,3481,3498,0,0,3520,3546,0,0,3546,3566,0,0
22:08:34,0,65535,3483,3497,0,0,3526,3545,0,0,3546,3566,0,0
22:08:34,0,65535,3482,3497,0,0,3521,3545,0,0,3545,3565,0,0
